Taxa de analfabetismo - pessoas com 15 anos ou mais (Atlas DH - Censo)
Sigla;Código;Município;1991;2000;2010;2022;
BA;2917300;Ituberá;49,84;31,92;20,38;16,47;
BA;2917334;Iuiú;55,33;37,58;25,99;19,97;
BA;2917359;Jaborandi;52,15;38,57;25,57;19,92;
BA;2917409;Jacaraci;43,37;32,68;25,82;18,6;
BA;2917508;Jacobina;35,6;23,59;17,56;12,7;
BA;2917607;Jaguaquara;47,1;32,39;26,78;19,27;
BA;2917706;Jaguarari;43,82;29,08;18,1;15,68;
BA;2917805;Jaguaripe;57,56;37,33;28,35;19,17;
BA;2917904;Jandaíra;58,14;40,28;27,29;18,82;
BA;2918001;Jequié;35,56;22,91;15,88;11,81;
BA;2918100;Jeremoabo;61,07;43,59;32;26,23;
BA;2918209;Jiquiriçá;48,7;34,77;22,6;19,49;
BA;2918308;Jitaúna;53,9;34,33;29,72;23,11;
BA;2918357;João Dourado;41,92;28,35;20,67;15,59;
BA;2918407;Juazeiro;28,3;20,45;13,35;9,67;
BA;2918456;Jucuruçu;60,52;44,71;32,04;27,02;
BA;2918506;Jussara;41,54;33,68;25,77;20,78;
BA;2918555;Jussari;44,3;29,47;29,42;18,16;
BA;2918605;Jussiape;32,76;22,16;25,07;17,43;
BA;2918704;Lafaiete Coutinho;51,36;32,83;26,98;24,71;
BA;2918753;Lagoa Real;49,57;36,67;23,83;21,08;
BA;2918803;Laje;52,88;34,8;27,44;20,92;
BA;2918902;Lajedão;42,28;35,81;24,18;18,65;
BA;2919009;Lajedinho;48,36;29,94;27,58;18,19;
BA;2919058;Lajedo do Tabocal;54,41;33,99;29,36;18,23;
BA;2919108;Lamarão;57,19;37,9;32,78;25,28;
BA;2919157;Lapão;36,96;25,11;20,99;16,46;
BA;2919207;Lauro de Freitas;19,57;9,52;4,93;3,68000000000001;
BA;2919306;Lençóis;39,63;29;18,65;10,67;
BA;2919405;Licínio de Almeida;39,35;29,89;22,9;15,95;
BA;2919504;Livramento de Nossa Senhora;42,1;27,66;21,15;17,2;
BA;2919553;Luís Eduardo Magalhães;37,58;15,32;7,27;4,68000000000001;
BA;2919603;Macajuba;51,72;33,68;27,76;21,55;
BA;2919702;Macarani;51,54;36,08;27,5;20,39;
BA;2919801;Macaúbas;59,86;35,13;26,44;19,85;
BA;2919900;Macururé;47,23;29,28;25,77;22,13;
BA;2919926;Madre de Deus;15,84;8,73;5,26;4,43000000000001;
BA;2919959;Maetinga;49,53;39,86;32,92;23,43;
BA;2920007;Maiquinique;52,43;35,01;26,79;16,99;
BA;2920106;Mairi;41,85;31,69;24,09;19,66;
BA;2920205;Malhada;53,71;37,83;24,31;20,35;
BA;2920304;Malhada de Pedras;56,26;33,44;26,09;19,64;
BA;2920403;Manoel Vitorino;51,96;39,86;27,81;23,8;
BA;2920452;Mansidão;41,83;23,62;17,54;11,4;
BA;2920502;Maracás;48,18;28,85;24,62;18,28;
BA;2920601;Maragogipe;49,04;30,43;22,75;17,6;
BA;2920700;Maraú;55,86;44,35;25,44;15,86;
BA;2920809;Marcionílio Souza;53,59;34,84;30,6;21,6;
BA;2920908;Mascote;53;36,49;30,47;20,53;
BA;2921005;Mata de São João;32,48;18,49;11,56;8,95;
BA;2921054;Matina;58,2;41,06;31,97;24,98;
BA;2921104;Medeiros Neto;40,92;30,89;24,08;16,81;
BA;2921203;Miguel Calmon;42,44;25,86;20,42;16,49;
BA;2921302;Milagres;40,8;27,5;22,25;18,12;
BA;2921401;Mirangaba;46,86;29,94;25,45;19,12;
BA;2921450;Mirante;51,67;34,06;30,18;24,11;
BA;2921500;Monte Santo;63,26;43,87;35,57;27,66;
BA;2921609;Morpará;47,17;33,14;27,64;18,93;
BA;2921708;Morro do Chapéu;41;30,08;22;16,07;
BA;2921807;Mortugaba;38,37;30,66;26,49;15,37;
BA;2921906;Mucugê;52,77;30,9;19,83;15,25;
BA;2922003;Mucuri;48,1;25,61;18,26;12,79;
BA;2922052;Mulungu do Morro;44,67;27,79;20,41;15,9;
BA;2922102;Mundo Novo;44,88;30,27;22,88;18,33;
BA;2922201;Muniz Ferreira;45,61;29,35;22,54;17,43;
BA;2922250;Muquém de São Francisco;54,85;36,21;25,28;18,99;
BA;2922300;Muritiba;29,51;21,54;16,84;11,8;
BA;2922409;Mutuípe;45,59;33,5;23,48;17,81;
BA;2922508;Nazaré;37,02;23,51;18,43;15,06;
BA;2922607;Nilo Peçanha;57,81;33,49;26,29;21,47;
BA;2922656;Nordestina;54,86;38,16;29,46;21,54;
BA;2922706;Nova Canaã;50,75;36,8;31,43;23,82;
BA;2922730;Nova Fátima;39,44;28,5;23,62;16,76;
BA;2922755;Nova Ibiá;57,78;33,19;29,01;21,52;
BA;2922805;Nova Itarana;59,54;35,55;30,56;20,24;
BA;2922854;Nova Redenção;48,15;35,7;27,15;17,99;
BA;2922904;Nova Soure;56,26;37,6;31,39;22,93;
BA;2923001;Nova Viçosa;42,48;28,4;19,02;13,47;
BA;2923035;Novo Horizonte;38,24;28,03;21,94;11,99;
BA;2923050;Novo Triunfo;57,98;34,4;23,28;21,12;
BA;2923100;Olindina;60,51;34,07;29,11;22,24;
BA;2923209;Oliveira dos Brejinhos;39,98;27,32;22,08;14,8;
BA;2923308;Ouriçangas;52,6;36,22;26,9;19,74;
BA;2923357;Ourolândia;62,5;41,02;27,85;21,57;
BA;2923407;Palmas de Monte Alto;54,6;37,71;28,42;22,8;
BA;2923506;Palmeiras;35,14;22,68;17,81;8,84999999999999;
