Sigla;codigo;municipio;taxa_analfabetismo
CE;2313807;Uruburetama;22.85
CE;2313906;Uruoca;36.46
CE;2313955;Varjota;26.67
CE;2314003;Várzea Alegre;28.56
CE;2314102;Viçosa do Ceará;31.42
CE;2399919;Entre Rios;
CE;2399929;Mecejana;
CE;2399939;Vertentes;
MA;2100055;Açailândia;17.69
MA;2100105;Afonso Cunha;34.64
MA;2100154;Água Doce do Maranhão;36.03
MA;2100204;Alcântara;22.44
MA;2100303;Aldeias Altas;37.68
MA;2100402;Altamira do Maranhão;32.98
MA;2100436;Alto Alegre do Maranhão;29.28
MA;2100477;Alto Alegre do Pindaré;32.25
MA;2100501;Alto Parnaíba;21.22
MA;2100550;Amapá do Maranhão;33.27
MA;2100600;Amarante do Maranhão;28.41
MA;2100709;Anajatuba;27.31
MA;2100808;Anapurus;29.9
MA;2100832;Apicum-Açu;18.69
MA;2100873;Araguanã;28.15
MA;2100907;Araioses;33.7
MA;2100956;Arame;33.02
MA;2101004;Arari;22.02
MA;2101103;Axixá;16.37
MA;2101202;Bacabal;21.4
MA;2101251;Bacabeira;18.3
MA;2101301;Bacuri;23.66
MA;2101350;Bacurituba;23.9
MA;2101400;Balsas;12.92
MA;2101509;Barão de Grajaú;22.7
MA;2101608;Barra do Corda;27.71
MA;2101707;Barreirinhas;25.37
MA;2101731;Belágua;39.2
MA;2101772;Bela Vista do Maranhão;29.44
MA;2101806;Benedito Leite;29.24
MA;2101905;Bequimão;24.22
MA;2101939;Bernardo do Mearim;26.78
MA;2101970;Boa Vista do Gurupi;23.74
MA;2102002;Bom Jardim;31.79
MA;2102036;Bom Jesus das Selvas;27.35
MA;2102077;Bom Lugar;32.11
MA;2102101;Brejo;29.92
MA;2102150;Brejo de Areia;35.08
MA;2102200;Buriti;30.27
MA;2102309;Buriti Bravo;30.42
MA;2102325;Buriticupu;26.9
MA;2102358;Buritirana;28.45
MA;2102374;Cachoeira Grande;30.41
MA;2102408;Cajapió;25.58
MA;2102507;Cajari;21.74
MA;2102556;Campestre do Maranhão;21.26
MA;2102606;Cândido Mendes;21.4
MA;2102705;Cantanhede;28.86
MA;2102754;Capinzal do Norte;32.19
MA;2102804;Carolina;15.13
